4870," ?3,026,370.00 ",
,,
4900," ?469,022.00 ",
4824," ?2,004,131.34 ",
4841," ?2,090,008.00 ",
4823Z," ?2,523,731.25 ",
,,
4853," ?997,767.16 ",
4885," ?2,370,410.00 ",
,,
4801Z," ?3,825,113.00 ",
,,
,," ?3,026,370.00 "
